ARTIST_ID,ARTIST_NAME
2964,Louis I. Kahn
7607,Marcel Kammerer
7608,Otto Schönthal
8100,Hans Poelzig
6210,Otto Wagner
7470,Christian de Portzamparc
7605,Emil Hoppe
7056,Bernard Tschumi
47,Raimund Abraham
1863,Roger C. Ferri
2308,Michael Graves
7661,Aldo Rossi
7166,Ludwig Mies van der Rohe
27,Erik Gunnar Asplund
2702,Steven Holl
8219,Erich Mendelsohn
8101,Paolo Soleri
5076,Paul Rudolph
6950,Peter Cook
6953,Zaha Hadid
6954,Fumihiko Maki
6459,Frank Lloyd Wright
451,Mario Bellini
141,Emilio Ambasz
7055,Tadao Ando
2837,Arata Isozaki
6076,Theo van Doesburg (Christian Emil Marie Küpper)
6934,Roberto Burle Marx
7933,Neil M. Denari
2864,David Jacob
696,Mario Botta
2030,R. Buckminster Fuller
3925,Alessandro Mendini
399,Herbert Bayer
3250,Leon Krier
7527,Daniel Libeskind
7566,Joel Sanders
8125,Massimo Scolari
5498,Kenneth Snelson
3910,Richard Meier
7229,Rafael Viñoly
6968,Santiago Calatrava
7569,Norman Foster
3091,Frederick Kiesler
1318,Jason Crum
6201,Konrad Wachsmann
632,Ricardo Bofill
2108,Frank O. Gehry
7528,Cesar Pelli
7418,Chuck Hoberman
2705,Hans Hollein
7420,Yoshito Takahashi
5668,James Stirling
1093,Iakov Chernikhov
7606,Robert A. M. Stern
7571,Harry C. Wolf
7530,Mehrdad Yazdani
3426,Le Corbusier (Charles-Édouard Jeanneret)
